,Job Category,Job Title,Company Name,Location,Summary,Date,URL
461,Business Intelligence,"Associate, Business Intelligence and Investigations","DUFF AND PHELPS, LLC","Central and Western District, Hong Kong Island","Kroll, a division of Duff & Phelps' Business Intelligence and Investigations (""BII"") practice is world-renowned for our trusted experts, global resources, local...",,https://www.indeed.hk/rc/clk?jk=58514e431554cea8&fccid=2b6243d317042ea1&vjs=3
462,Business Intelligence,"Senior Associate, Business Intelligence and Investigations","DUFF AND PHELPS, LLC","Central and Western District, Hong Kong Island",Minimum of 2-3 years in investigations and business intelligence. We are seeking candidates with some experience in the investigations and business intelligence...,,https://www.indeed.hk/rc/clk?jk=a0b63fc71a5b89df&fccid=2b6243d317042ea1&vjs=3
463,Business Intelligence,Business Intelligence Specialist - Fortune 500 company,Hays,Hong Kong,Understanding of Data warehousing and Business Intelligence tools. The organization is currently experiencing tremendous growth and is seeking an experienced...,,https://www.indeed.hk/rc/clk?jk=4a98cb22219b833b&fccid=31670bef3ae6497b&vjs=3
469,Business Intelligence,"Associate Director, Business Intelligence and Investigations","DUFF AND PHELPS, LLC","Central and Western District, Hong Kong Island","Kroll, a division of Duff & Phelps' Business Intelligence and Investigations (""BII"") practice is world-renowned for our trusted experts, global resources, local...",30+ days ago,https://www.indeed.hk/rc/clk?jk=cdbeff4aa60a04b3&fccid=2b6243d317042ea1&vjs=3
470,Business Intelligence,"Customer Service Manager, FMCG Call Center",ProJobs21,Hong Kong,"With good understanding of marketing and CRM concepts and business planning skills. This include direct people and vendor management, review and improve...",30+ days ago,https://www.indeed.hk/rc/clk?jk=118bc4da26175abc&fccid=513d7cb4a42e478a&vjs=3
471,Business Intelligence,Digital Optimisation Specialist - Retail Banking and Wealth Management,HSBC,"Central, Hong Kong Island","Work collaboratively with stakeholders including Group Customer Valued Managment, Group Digital, Business Intelligence, Global metrics team to standardize...",30+ days ago,https://www.indeed.hk/rc/clk?jk=1c1e8d7fc02a576e&fccid=04c9b139c84ea1b5&vjs=3
472,Business Intelligence,"Assistant Vice President, Data Governance",China Citic Bank International,Hong Kong,"Knowledge of business intelligence or data warehousing architecture, concepts and practices. Assist business units / support units on the development of data...",30+ days ago,https://www.indeed.hk/rc/clk?jk=253c78dfc1eb1d58&fccid=94431f42f43dd27b&vjs=3
473,Business Intelligence,FP&A Analyst (Welcome Pure Big4),Michael Page,Kowloon,Evaluate project plans for annual and mid-year business planning cycles to better support business intelligence for forward strategies and planning....,30+ days ago,https://www.indeed.hk/rc/clk?jk=0133c7263a9be9bd&fccid=77087bd1709a8148&vjs=3
474,Business Intelligence,Senior Project Manager (ETL) - Banking,Michael Page,Hong Kong,Our client is a solutions provider that works closely with a top tier international investment bank. They are looking for candidates with experience working...,30+ days ago,https://www.indeed.hk/rc/clk?jk=aad187c00c173238&fccid=77087bd1709a8148&vjs=3
475,Business Intelligence,business intelligence manager,Randstad,Hong Kong,5+ years of data science / business intelligence experience. The Business Intelligence Manager will be responsible for managing big data and advanced analytics...,,https://www.indeed.hk/rc/clk?jk=c64d485fa0fb95bb&fccid=f8b265243da9f9d7&vjs=3
476,Business Intelligence,Assistant Big Data Project Manager - 50K,Michael Page,Hong Kong,Initiate business intelligence and big data projects. Act as a project manager to perform full project life-cycle of big data/ business intelligence system...,,https://www.indeed.hk/rc/clk?jk=b1e622d2d1205a75&fccid=77087bd1709a8148&vjs=3
477,Business Intelligence,Finance Manager (FP&A),Robert Walters,Hong Kong,"Good business intelligence skills, proficient with using Excel and other common database/automation tool....",,https://www.indeed.hk/rc/clk?jk=783e961fcdbb4693&fccid=f01c2f55ec3054bf&vjs=3
